iata_code,icao_code,name,alias,
WM,WIA,Windward Island Airways,,"""WM""=>""Windward Island Airways"","
WN,SWA,Southwest Airlines,,"""WN""=>""Southwest Airlines"","
WO,WOA,World Airways,,"""WO""=>""World Airways"","
WP,MKU,Island Air,,"""WP""=>""Island Air"","
WQ,,Romavia,,"""WQ""=>""Romavia"","
WR,WEN,WestJet Encore,,"""WR""=>""WestJet Encore"","
WS,WJA,WestJet,,"""WS""=>""WestJet"","
WT,SWT,Swiftair,,"""WT""=>""Swiftair"","
WV,RVP,Aero VIP,,"""WV""=>""Aero VIP"","
WW,,Wow Air,,"""WW""=>""Wow Air"","
WX,BCY,CityJet,,"""WX""=>""CityJet"","
WY,OAS,Oman Air,,"""WY""=>""Oman Air"","
WZ,RWZ,Red Wings Airlines,,"""WZ""=>""Red Wings Airlines"","
X3,TUI,TUIfly,,"""X3""=>""TUIfly"","
X4,,Air Excursions,,"""X4""=>""Air Excursions"","
X6,ATA,Airlines Reporting Corp,ARC,"""X6""=>""Airlines Reporting Corp"","
X7,,Exec Air,Air Service,"""X7""=>""Exec Air"","
X9,NVD,Avion Express,City Star Air,"""X9""=>""Avion Express"","
XB,,IATA,,"""XB""=>""IATA"","
XC,CAI,Corendon Airlines,,"""XC""=>""Corendon Airlines"","
XD,,Scheduled Airlines Traffic Offices,,"""XD""=>""Scheduled Airlines Traffic Offices"","
XE,JSX,Delux Public Charter,,"""XE""=>""Delux Public Charter"","
XF,VLK,Vladivostok Air,,"""XF""=>""Vladivostok Air"","
XG,,Sun Express Germany,,"""XG""=>""Sun Express Germany"","
XH,,Non Iata Codeshare Carrier,,"""XH""=>""Non Iata Codeshare Carrier"","
XJ,TAX,Thai AirAsia X,Mesaba Air,"""XJ""=>""Thai AirAsia X"","
XK,CCM,Air Corsica,,"""XK""=>""Air Corsica"","
XL,LNE,LATAM Ecuador,,"""XL""=>""LATAM Ecuador"","
XM,IMX,Zimex Aviation,,"""XM""=>""Zimex Aviation"","
XN,XAR,XpressAir,,"""XN""=>""XpressAir"","
XO,,Seair,Xinjiang,"""XO""=>""Seair"","
XP,CXP,Xtra Airways,,"""XP""=>""Xtra Airways"","
XQ,SXS,SunExpress,,"""XQ""=>""SunExpress"","
XS,SIT,SITA,,"""XS""=>""SITA"","
XT,INX,Indonesia AirAsia X,,"""XT""=>""Indonesia AirAsia X"","
XU,,African Express Airways,Link Airways,"""XU""=>""African Express Airways"","
XW,NCT,NokScoot,NokScoot Airlines Company Limited,"""XW""=>""NokScoot"","
XY,KNE,Flynas,Nas Air,"""XY""=>""Flynas"","
XZ,EXY,South African Express,SA Express,"""XZ""=>""South African Express"","
Y0,,Yellow Airtaxi,,"""Y0""=>""Yellow Airtaxi"","
Y1,,Travel Technology Interactive,,"""Y1""=>""Travel Technology Interactive"","
Y2,RGN,Ygnus Air,,"""Y2""=>""Ygnus Air"","
Y3,VOS,Gryphon Airlines,,"""Y3""=>""Gryphon Airlines"","
Y4,VOI,Volaris,Concesionaria Vuela Compañía de Aviación,"""Y4""=>""Volaris"","
Y5,,Golden Myanmar Airlines,,"""Y5""=>""Golden Myanmar Airlines"","
Y6,AYD,AB Aviation,,"""Y6""=>""AB Aviation"","
Y7,TYA,NordStar,,"""Y7""=>""NordStar"","
Y8,YZR,Yangtze River Express,,"""Y8""=>""Yangtze River Express"","
Y9,IRK,Kish Airlines,Trans Air,"""Y9""=>""Kish Airlines"","
YA,,Nego Airline One,,"""YA""=>""Nego Airline One"","
YC,LLM,Yamal Airlines,,"""YC""=>""Yamal Airlines"","
YD,,Mauritania Airways,,"""YD""=>""Mauritania Airways"","
YE,,Yan Air,,"""YE""=>""Yan Air"","
YG,OTL,South Airlines,,"""YG""=>""South Airlines"","
YH,AYG,Yangon Airways,,"""YH""=>""Yangon Airways"","
YI,,Yunnan Yingan Airline,,"""YI""=>""Yunnan Yingan Airline"","
YJ,AWM,Asian Wings Airways,,"""YJ""=>""Asian Wings Airways"","
YK,,Avia Traffic Company,Avia Traffic,"""YK""=>""Avia Traffic Company"","
YL,LWA,Libyan Wings,,"""YL""=>""Libyan Wings"","
YM,MGX,Montenegro Airlines,,"""YM""=>""Montenegro Airlines"","
YN,CRQ,Air Creebec,Air Creebec,"""YN""=>""Air Creebec"","
YO,MCM,Heli Air Monaco,,"""YO""=>""Heli Air Monaco"","
YP,PAG,Perimeter Aviation,,"""YP""=>""Perimeter Aviation"","
YQ,LCT,TAR Aerolíneas,TAR Aerolineas,"""YQ""=>""TAR Aerolíneas"","
YR,EGJ,Scenic Airlines,,"""YR""=>""Scenic Airlines"","
YS,RAE,Regional,Régional Compagnie Aérienne Européenne,"""YS""=>""Regional"","
YU,MMZ,Euroatlantic Airways,,"""YU""=>""Euroatlantic Airways"","
YV,ASH,Mesa Airlines,,"""YV""=>""Mesa Airlines"","
YW,ANE,Air Nostrum,,"""YW""=>""Air Nostrum"","
YX,MEP,Republic Airline,,"""YX""=>""Republic Airline"","
YZ,ALY,Alas Uruguay,,"""YZ""=>""Alas Uruguay"","
Z2,EZD,AirAsia Zest,,"""Z2""=>""AirAsia Zest"","
Z3,,PM Air,,"""Z3""=>""PM Air"","
Z4,GZQ,Zagrosjet,,"""Z4""=>""Zagrosjet"","
Z5,GMG,GMG Airlines,,"""Z5""=>""GMG Airlines"","
Z6,UDN,Dniproavia,,"""Z6""=>""Dniproavia"","
Z7,AUZ,Amaszonas Uruguay,,"""Z7""=>""Amaszonas Uruguay"","
Z8,AZN,Línea Aérea Amaszonas,,"""Z8""=>""Línea Aérea Amaszonas"","
Z9,BEK,Jsc Bek Air,,"""Z9""=>""Jsc Bek Air"","
ZA,SWM,Sky Angkor Airlines,Skywings Asia Airlines,"""ZA""=>""Sky Angkor Airlines"","
ZB,MON,Monarch Airlines,,"""ZB""=>""Monarch Airlines"","
ZD,EWR,Ewa Air,Flying Dandy,"""ZD""=>""Ewa Air"","
ZE,ESR,Eastar Jet,,"""ZE""=>""Eastar Jet"","
ZF,KTK,Azur Air,,"""ZF""=>""Azur Air"","
ZG,GOZ,Groznyy Avia,,"""ZG""=>""Groznyy Avia"","
ZH,CSZ,Shenzhen Airlines,,"""ZH""=>""Shenzhen Airlines"","
ZI,AAF,Aigle Azur,,"""ZI""=>""Aigle Azur"","
